fly_name,type,species,materials,tutorials
Iso (Slate Drake) Parachute #10,Dry,trout,hook: dry #10; thread: 6/0 gray; tail: moose hair; body: dubbing gray; post: white poly; hackle: dun,
CDC Caddis (olive) #14,Dry,trout,hook: dry #14; thread: 8/0 olive; body: dubbing olive; wing: CDC natural,
RS2 (gray) #20,Nymph/Emerger,trout,hook: midge #20; thread: 8/0 gray; tail: microfibetts; body: thread gray; wing: antron gray,
Purple Haze #16,Dry,trout,hook: dry #16; thread: 8/0 purple; tail: grizzly; body: superfine dubbing purple; post: white poly; hackle: grizzly,
Salmonfly Dry (orange) #6,Dry,trout,hook: dry #6 2xl; thread: 140d orange; tail: elk hair short; body: foam orange; wing: elk hair; rubber legs: barred brown; indicator: foam white,
Golden Stone Nymph #8,Nymph/Stonefly,trout,hook: nymph #8 2xl; bead: tungsten gold 4.0mm; thread: 140d brown; tail: goose biots brown; body: dubbing golden stone; rib: wire gold; wingcase: mottled scud back; legs: hen brown,
Pat's Rubber Legs (brown) #8,Nymph/Stonefly,trout,hook: nymph #8 2xl; thread: 140d brown; body: chenille brown; legs: rubber brown,
PMD Sparkle Dun #16,Dry,trout,hook: dry #16; thread: 8/0 yellow; tail: microfibetts; shuck: antron amber; body: superfine dubbing pmd; wing: comparadun deer,
Green Drake (emerger) #12,Nymph/Emerger,trout,hook: curved #12; thread: 8/0 olive; tail: shuck antron tan; body: dubbing olive; thorax: peacock; wing: CDC dun,
Chubby Chernobyl (golden) #8,Dry/Terrestrial,trout,hook: dry #8 2xl; thread: 140d tan; body: foam golden; wing: white poly; legs: barred rubber,
Zoo Cougar (tan) #2,Streamer,trout,hook: streamer #2 3xl; thread: 140d tan; wing: marabou tan; flash: flashabou pearl; head: spun deer hair,
Peanut Envy (olive) #4,Streamer,trout,hook: streamer #4 3xl; thread: 140d olive; tail: marabou olive; wing: marabou + flash; collar: schlappen olive; head: wool or dubbing olive,
Barely Legal (olive/white) #4,Streamer,trout,hook: streamer #4 3xl; thread: 140d white; tail: marabou olive/white; body: polar chenille; wing: marabou; rubber legs: barred,
Sex Dungeon (olive) #2,Streamer,trout,hook: streamer #2 3xl; thread: 140d olive; tail: marabou olive; body: schlappen + dubbing loop; head: deer hair spun,
Y2K Egg (peach) #12,Nymph,trout,hook: nymph #12; thread: 6/0 orange; body: egg yarn peach; dot: egg yarn orange,
San Juan Worm (red) #12,Nymph,trout,hook: nymph #12; thread: 6/0 red; body: ultra-chenille red,
Mega Worm (white) #8,Nymph,trout,hook: jig #8; bead: slotted tungsten 4.0mm silver; thread: 140d white; body: chenille medium white,
Ray Charles (tan) #16,Nymph,trout,hook: scud #16; thread: 8/0 tan; body: sow-scud dubbing tan; rib: mono; shellback: thin skin mottled,
Scud (gray) #16,Nymph,trout,hook: scud #16; thread: 8/0 gray; body: scud dubbing gray; rib: mono; shellback: scud back clear,
Sow Bug (tan) #16,Nymph,trout,hook: scud #16; thread: 8/0 tan; body: sow-scud dubbing tan; rib: mono; shellback: thin skin,
Zebra Midge (black) #20,Nymph/Emerger,trout,hook: midge #20; bead: silver 2.0mm; thread: 8/0 black; body: thread black; rib: silver wire,
Zebra Midge (red) #20,Nymph/Emerger,trout,hook: midge #20; bead: silver 2.0mm; thread: 8/0 red; body: thread red; rib: silver wire,
Root Beer Midge #18,Nymph/Emerger,trout,hook: midge #18; bead: copper 2.0mm; thread: 8/0 brown; body: brown thread; rib: copper wire,
Micro Egg (chartreuse) #14,Nymph,trout,hook: nymph #14; thread: 6/0 chartreuse; body: egg yarn chartreuse,
Walt's Worm #14,Nymph,trout,hook: jig #14; bead: slotted tungsten 3.0mm gold; thread: 8/0 tan; body: hare's blend dubbing; rib: fine wire gold,
Sexy Walt's Worm #14,Nymph,trout,hook: jig #14; bead: slotted tungsten 3.0mm copper; thread: 8/0 brown; body: hare's blend dubbing with ice dub; rib: wire copper,
Frenchie #16,Nymph,trout,hook: jig #16; bead: slotted tungsten 2.5mm gold; thread: 8/0 pink; tail: coq de leon; body: pheasant tail; hot spot: fluoro pink thread; rib: copper wire,
Perdigon (olive) #16,Nymph,trout,hook: jig #16; bead: slotted tungsten 2.5mm silver; thread: 8/0 olive; tail: coq de leon; body: resin over thread olive; hot spot: orange thread,
Copper John (red) #16,Nymph,trout,hook: nymph #16; bead: gold 2.5mm; thread: 6/0 brown; tail: goose biots brown; body: red wire; thorax: peacock herl; wingcase: flashback; legs: hen brown,
Lightning Bug (pearl) #16,Nymph,trout,hook: nymph #16; bead: silver 2.5mm; thread: 8/0 black; tail: pheasant tail; body: tinsel pearl; thorax: ice dub pearl; rib: silver wire,
CDC Bubble Caddis (olive) #14,Nymph/Emerger,trout,hook: caddis #14; bead: gold 3.0mm; thread: 8/0 olive; body: antron green; wing: CDC; bubble: antron,
Woolly Bugger (olive) #6,Streamer,trout;bass,hook: streamer #6 3xl; bead: conehead gold 5.0mm; thread: 140d olive; tail: marabou olive; flash: crystal flash pearl; body: chenille olive; rib: wire medium gold; hackle: saddle olive,
Woolly Bugger (black) #6,Streamer,trout;bass,hook: streamer #6 3xl; bead: conehead black 5.0mm; thread: 140d black; tail: marabou black; flash: crystal flash pearl; body: chenille black; rib: wire medium silver; hackle: saddle black,
Muddler Minnow #6,Streamer,trout;smallmouth,hook: streamer #6 3xl; thread: 6/0 tan; tail: turkey mottled; body: gold tinsel; wing: squirrel tail; head: deer hair spun and clipped,
Clouser Minnow (chartreuse/white) #2,Streamer/Stillwater,bass;panfish;saltwater,hook: streamer #2 2xl; thread: 140d white; eyes: dumbbell nickel; belly: bucktail white; back: bucktail chartreuse; flash: flashabou pearl,
Lefty's Deceiver (white) #2/0,Streamer,saltwater;bass,hook: streamer #2/0 3xl; thread: 140d white; tail: saddle hackles white; flash: krystal flash; body: mylar tubing; collar: bucktail white,
Kreelex (gold) #6,Streamer,trout;smallmouth,hook: streamer #6 3xl; thread: 140d gold; body: kreelex flash gold; eyes: dumbbell gold,
Sculpin (olive) #4,Streamer,trout,hook: streamer #4 3xl; thread: 140d olive; tail: marabou olive; body: wool or rabbit; head: sculpin helmet olive,
Crayfish (rust) #4,Streamer/Stillwater,bass;trout,hook: streamer #4 2xl; thread: 140d rust; claws: hen saddle; body: dubbing rust; eyes: mono burnt; legs: rubber,
Damsel Nymph (olive) #12,Streamer/Stillwater,trout;panfish,hook: nymph #12 2xl; thread: 8/0 olive; tail: marabou olive; body: dubbing olive; rib: mono; thorax: peacock,
Midge Larva (red) #20,Nymph,trout,hook: midge #20; thread: 8/0 red; body: ultra thread red; rib: fine wire silver,
Egg (chartreuse) #12,Nymph,trout,hook: nymph #12; thread: 6/0 chartreuse; body: egg yarn chartreuse,
Soft Hackle (partridge & orange) #14,Wet,trout,hook: wet #14; thread: 8/0 orange; body: silk orange; hackle: partridge,
Taneycomo Scud (Gray) #18,Nymph,trout,hook: scud #18; thread: 8/0 gray; shellback: scud back clear; body: gray sow-scud dubbing; rib: fine silver wire,
P&P Midge (Black) #22,Nymph,trout,hook: midge #22; thread: 16/0 black; body: black thread; rib: fine silver wire; wing buds: white poly yarn,
Miracle Nymph #20,Nymph,trout,hook: midge #20; thread: 8/0 red; abdomen: red thread; thorax: peacock herl; head: red thread,
Disco Midge (Pearl) #20,Nymph,trout,hook: midge #20; bead: silver 2.0mm; thread: 8/0 white; body: pearl flashabou; thorax: black dubbing,
Mega Worm (Brown) #8,Nymph,trout,hook: jig #8; bead: slotted tungsten 4.0mm gold; body: chenille medium brown,
Psycho Prince Nymph #14,Nymph,trout,hook: jig #14; bead: slotted tungsten 3.0mm pink; thread: 8/0 pink; tail: white goose biots; body: peacock dubbing; rib: pink wire; collar: ice dub uv pink; wing: white goose biots,
Tungsten Surveyor #16,Nymph,trout,hook: nymph #16; body: tungsten surveyor body; thread: 8/0 olive; tail: coq de leon; collar: hare's ear dubbing; shellback: thin skin olive,
Mike's Mohair Leech (Ginger) #10,Streamer,trout;bass,hook: nymph #10 2xl; thread: 6/0 brown; body: mohair yarn (ginger); tail: ginger marabou,
Pine Squirrel Zonker (Sculpin Olive) #8,Streamer,trout;bass,hook: streamer #8; thread: 140d olive; body: pine squirrel zonker (sculpin olive); collar: sculpin olive dubbing,
Slump Buster (Olive) #6,Streamer,trout;bass,hook: streamer #6 3xl; bead: conehead gold; thread: 140d olive; tail: pine squirrel zonker; body: pine squirrel zonker; collar: pine squirrel zonker,
Bennett Spring Zebra Midge #24,Nymph,trout,hook: midge #24; bead: silver 1.5mm; rib: fine silver wire,
Trico Spinner #22,Dry,trout,hook: dry #22; thread: 8/0 black; tail: microfibetts white; body: trico dubbing; wing: trico spinner wings,
Sulphur Dun #16,Dry,trout,hook: dry #16; thread: 8/0 yellow; tail: dun hackle fibers; body: superfine dubbing sulphur; wing: dun hackle tips,
Crackelback (Yellow) #14,Wet,trout;panfish,hook: wet #14; thread: 8/0 black; body: peacock herl; hackle: grizzly rooster (palmered); shellback: yellow floss,
Boogle Bug Popper (White) #8,Topwater,bass;panfish,hook: popper #8; body: boogle bug body (small/white); tail: white marabou; legs: white rubber legs,
Dahlberg Diver (Frog) #2,Topwater,bass,hook: streamer #2; tail: olive marabou; body: spun deer hair (natural); collar: spun deer hair (olive); head: dahlberg diver head,
Hairy Crawfish (Olive) #6,Streamer,bass,hook: streamer #6; eyes: small lead eyes; tail: olive rabbit fur; claws: olive hen saddle; body: olive chenille; shellback: olive rabbit fur,
Clouser Minnow (Olive/White) #4,Streamer,bass;trout,hook: streamer #4; eyes: dumbbell nickel; thread: 140d white; belly: white bucktail; back: olive bucktail; flash: krystal flash pearl,
Murdich Minnow (Tan) #2,Streamer,bass;trout,shank: articulated; hook: streamer #2; thread: 140d tan; body: murdich skin; head: craft fur tan; eyes: 3d eyes,
Holschlag's Hare (Black) #4,Streamer,bass,hook: streamer #4; thread: 140d black; tail: black rabbit strip; body: black crosscut rabbit strip,
Dragonfly Nymph (Olive) #8,Nymph,bass;panfish,hook: nymph #8 2xl; eyes: mono burnt; thread: 8/0 olive; tail: olive marabou; body: olive dubbing; wingcase: mottled turkey quill; legs: hen brown,
Y2K Egg (Orange/Chartreuse) #12,Nymph,trout,hook: nymph #12; thread: 6/0 orange; body: egg yarn chartreuse; dot: egg yarn orange,
Sunday Special (White) #4,Streamer,trout,hook: streamer #4 3xl; bead: conehead silver; thread: 140d white; body: pearl estaz; tail: white marabou; wing: grizzly marabou,
Jigged Pheasant Tail #16,Nymph,trout,hook: jig #16; bead: slotted tungsten 2.5mm gold; thread: 8/0 brown; tail: pheasant tail fibers; rib: copper wire; body: pheasant tail fibers; thorax: pheasant tail ice dub,
Ruby Midge #20,Nymph,trout,hook: midge #20; bead: gold 2.0mm; thread: 8/0 red; body: red wire; thorax: peacock herl,
Micro Mayfly (Olive) #18,Nymph,trout,hook: nymph #18; thread: 8/0 olive; tail: coq de leon; body: olive dubbing; rib: fine gold wire; wingcase: pheasant tail; legs: partridge,
Renegade #14,Dry,trout,hook: dry #14; thread: 8/0 brown; rear hackle: brown rooster; body: peacock herl; front hackle: white rooster,
Soft Hackle (Hare's Ear) #14,Wet,trout,hook: wet #14; thread: 8/0 brown; body: hare's ear dubbing; hackle: partridge,
Gartside Gurgler (White) #2,Topwater,bass;saltwater,hook: streamer #2; thread: 140d white; tail: white bucktail; body: white craft fur; shell: closed-cell foam white,
Blockhead Popper (Chartreuse) #4,Topwater,bass;panfish,hook: streamer #4; body: foam popper body chartreuse; tail: chartreuse marabou; legs: rubber legs (chartreuse),
Simple Scud (Olive) #16,Nymph,trout,hook: scud #16; thread: 8/0 olive; shellback: scud back clear; body: olive dubbing; rib: fine copper wire,
Woolly Bugger (White) #8,Streamer,bass;trout;panfish,hook: streamer #8; thread: 140d white; tail: white marabou; body: white chenille; hackle: grizzly saddle,
The Mop Fly (Tan) #12,Nymph,trout;panfish,hook: jig #12; bead: slotted tungsten 3.0mm gold; body: mop material tan; collar: hare's ear dubbing,
Devil Jig #16,Nymph,trout,hook: jig #16; bead: slotted tungsten 3.0mm copper; thread: 8/0 red; tail: coq de leon; body: peacock herl; rib: red wire; collar: cdc black,
Glo-Bug (Pink) #14,Nymph,trout,hook: nymph #14; thread: 6/0 pink; body: egg yarn pink,
Meat Whistle (Olive) #2,Streamer,bass;trout,hook: jig #2; bead: conehead gold; thread: 140d olive; tail: olive rabbit strip; body: olive chenille; collar: olive schlappen,
Cowen's Coyote (Natural) #1/0,Streamer,bass,hook: streamer #1/0; thread: 140d tan; tail: coyote tail; body: estaz pearl; wing: coyote tail; head: spun deer hair,
Swamp Donkey (Black) #2/0,Streamer,bass,hook: articulated shank; hook: streamer #2/0; thread: 140d black; tail: black marabou; body: black schlappen; legs: rubber legs black; head: spun deer hair,
Conrad's Sculpin #4,Streamer,trout;bass,hook: sculpin helmet #4; thread: 140d olive; tail: olive rabbit strip; fins: sculpin wool; body: olive dubbing,
Deer Hair Bass Bug (Frog) #1/0,Topwater,bass,hook: bass bug #1/0; thread: GSP 200 white; tail: chartreuse hackle feathers; body: spun deer hair (chartreuse/yellow/white); legs: rubber legs chartreuse,
CK Baitfish #2,Streamer,bass;trout,hook: streamer #2; thread: 140d white; tail: white marabou; body: pearl estaz; wing: craft fur white,
Carp Carrot (Orange) #8,Nymph,carp,hook: nymph #8; bead: brass bead orange; thread: 6/0 orange; tail: orange marabou; body: orange dubbing,
Egan's Headstand (Brown) #10,Nymph,carp,hook: jig #10; eyes: lead dumbbell eyes; thread: 140d brown; tail: brown marabou; body: hare's ear dubbing; legs: rubber legs brown,
Carp Bitter (Olive) #12,Nymph,carp,hook: scud #12; bead: tungsten bead black; thread: 8/0 olive; tail: olive marabou; body: olive dubbing; rib: copper wire,
Backstabber Carp Fly #8,Nymph,carp,hook: carp hook #8; eyes: dumbbell nickel; thread: 140d tan; body: tan rabbit strip,
Ligon's Madtom (Black) #4,Streamer,catfish;bass,hook: streamer #4; eyes: dumbbell nickel; thread: 140d black; tail: black rabbit strip; fins: black hen saddle; body: black chenille,
Catfish Dredger (Black/Purple) #2,Streamer,catfish,hook: streamer #2; thread: 140d black; tail: purple marabou; body: black chenille; collar: black schlappen,
Bunny Leech (Black) #6,Streamer,trout;bass;catfish,hook: streamer #6; bead: conehead black; thread: 140d black; body: black rabbit strip,
Tungsten Little Brown Stone #14,Nymph,trout,hook: jig #14; bead: slotted tungsten 3.0mm brown; thread: 6/0 brown; tail: brown goose biots; body: brown dubbing; rib: copper wire; legs: partridge,
Soft Hackle Caddis Pupa #14,Wet,trout,hook: scud #14; bead: glass bead green; thread: 8/0 olive; body: caddis green dubbing; rib: copper wire; hackle: partridge,
Egg Sucking Leech (Purple) #6,Streamer,trout,hook: streamer #6; bead: bead pink; thread: 140d black; tail: purple marabou; body: purple chenille,
Gotcha (Pearl/Tan) #6,Streamer,saltwater,hook: saltwater #6; eyes: bead chain eyes; thread: 140d pink; tail: craft fur tan; body: pearl braid; wing: craft fur tan,
Crazy Charlie (Pink) #8,Streamer,saltwater,hook: saltwater #8; eyes: bead chain eyes; thread: 140d pink; body: pink floss; wing: calf tail white; flash: krystal flash pearl,
Flashback Pheasant Tail #18,Nymph,trout,hook: nymph #18; thread: 8/0 brown; tail: pheasant tail fibers; body: pheasant tail fibers; rib: copper wire; wingcase: pearl flashabou; thorax: peacock herl,
Jig Prince Nymph #14,Nymph,trout,hook: jig #14; bead: slotted tungsten 3.0mm gold; thread: 6/0 black; tail: brown goose biots; body: peacock herl; rib: oval gold tinsel; hackle: brown hen saddle; wing: white goose biots,
CDC Midge Pupa #20,Nymph/Emerger,trout,hook: midge #20; thread: 8/0 olive; body: olive thread; rib: fine silver wire; wing: cdc puff white,
Foam Beetle (Black) #14,Dry/Terrestrial,trout;panfish,hook: dry #14; thread: 8/0 black; body: black foam cylinder; underbody: peacock herl; indicator: orange foam,
Hi-Vis Ant (Cinnamon) #16,Dry/Terrestrial,trout,hook: dry #16; thread: 6/0 brown; body: cinnamon dubbing; post: hi-vis pink antron,
Parachute Hopper (Tan) #10,Dry/Terrestrial,trout,hook: dry #10 2xl; thread: 140d tan; body: tan dubbing; wing: mottled turkey quill; legs: knotted pheasant tail fibers; post: white poly yarn; hackle: grizzly,
Guide's Choice Hare's Ear #16,Nymph,trout,hook: nymph #16; bead: gold tungsten bead; thread: 6/0 tan; tail: hare's mask guard hairs; body: hare's ear dubbing; rib: gold wire; wingcase: pearl flashabou; thorax: hare's ear dubbing,
Lance Egan's Rainbow Warrior #18,Nymph,trout,hook: nymph #18; bead: silver tungsten bead; thread: 8/0 red; tail: coq de leon; body: pearl tinsel; thorax: rainbow scud dubbing,
Mercury Black Beauty #22,Nymph,trout,hook: midge #22; bead: glass bead silver; thread: 8/0 black; body: black thread; rib: fine copper wire; wing: flashabou pearl,
Cheech's Leech (Black) #2,Streamer,trout;bass,hook: articulated shank; hook: streamer #2; thread: 140d black; tail: black marabou; body: polar chenille black; head: black dubbing,
Kelly Galloup's T&A Bunker (White) #1/0,Streamer,trout;bass,shank: articulated; hook: streamer #1/0; thread: 140d white; tail: white marabou; body: white schlappen; head: spun deer hair white,
Mike's Meal Ticket (White) #4,Streamer,trout,hook: streamer #4; bead: conehead white; thread: 140d white; body: white estaz; wing: white rabbit strip,
Kelly's Cripple (PMD) #16,Dry,trout,hook: dry #16; thread: 8/0 yellow; shuck: zelon shuck; tail: dun hackle fibers; body: pmd superfine dubbing; wing: comparadun deer hair,
Tim's Chromie #18,Nymph,trout,hook: midge #18; bead: silver tungsten bead; thread: 8/0 white; body: silver tinsel; wing buds: uv resin,
Rosenbauer's Gut Bomb (Golden) #8,Nymph,trout,hook: jig #8; bead: slotted tungsten gold; thread: 6/0 tan; underbody: lead wire; body: golden stone dubbing; shellback: thin skin golden; legs: rubber legs brown,
Flagler's Simple Stonefly #10,Nymph,trout,hook: nymph #10 2xl; thread: 140d black; underbody: lead wire; tail: black goose biots; body: black dubbing; wingcase: thin skin black; legs: black rubber legs,
Galloup's Silk Kitty #2,Streamer,trout,hook: streamer #2; eyes: lead dumbbell eyes; thread: 140d white; tail: white marabou; body: pearl estaz; wing: white marabou,
Tim's Conehead Sculpin #4,Streamer,trout,hook: streamer #4; bead: conehead sculpin helmet; thread: 140d olive; tail: olive rabbit strip; fins: olive schlappen; body: olive dubbing loop,
Rosenbauer's CDC Caddis Emerger #16,Nymph/Emerger,trout,hook: scud #16; thread: 8/0 tan; shuck: antron brown; body: tan dubbing; wing: natural cdc,
Kelly's Galloup's Stacked Blonde #2,Streamer,trout,hook: streamer #2; thread: 140d white; tail: blonde marabou; body: pearl estaz; wing: blonde marabou,
Flagler's Improved San Juan Worm #12,Nymph,trout,hook: scud #12; thread: 6/0 red; body: red ultra-chenille; head: black dubbing,
Tim's PT Cruiser #16,Nymph,trout,hook: jig #16; bead: slotted tungsten gold; thread: 8/0 brown; tail: coq de leon; body: pheasant tail; thorax: peacock ice dub; hot spot: orange thread,
Rosenbauer's Rabbit's Foot Emerger (Sulphur) #16,Nymph/Emerger,trout,hook: scud #16; thread: 8/0 yellow; shuck: antron brown; abdomen: sulphur dubbing; thorax: snowshoe rabbit foot dubbing; wing: snowshoe rabbit foot hair,
Kelly's Boogie Man #2,Streamer,trout;bass,shank: articulated; hook: streamer #2; thread: 140d olive; tail: olive marabou; body: olive schlappen; head: olive spun deer hair,
Flagler's Tungsten Torpedo (BWO) #18,Nymph,trout,hook: jig #18; bead: slotted tungsten silver; thread: 8/0 olive; body: bwo dubbing; shellback: thin skin olive; hot spot: orange thread,
Tim's Tying the Biot Midge #20,Nymph,trout,hook: midge #20; bead: silver tungsten bead; thread: 8/0 white; body: white goose biot,
Rosenbauer's Olive Matuka #6,Streamer,trout,hook: streamer #6 3xl; thread: 140d olive; body: olive chenille; rib: oval silver tinsel; wing: olive rooster saddle,
Kelly's Heifer Groomer #2,Streamer,trout,hook: articulated shank; hook: streamer #2; thread: 140d yellow; tail: yellow marabou; body: yellow schlappen; head: yellow spun deer hair,
Flagler's Egg-Sucking Leech Jig #8,Streamer,trout,hook: jig #8; bead: pink slotted tungsten bead; thread: 140d black; tail: black marabou; body: black chenille,
Tim's Shop Vac #2,Streamer,bass;trout,hook: streamer #2; eyes: lead dumbbell eyes; thread: 140d olive; tail: olive rabbit strip; body: polar chenille olive; head: sculpin wool,
Rosenbauer's Parachute Trico #24,Dry,trout,hook: dry #24; thread: 16/0 black; tail: white microfibetts; body: black dubbing; post: white poly yarn; hackle: grizzly,
Kelly's Bangtail T&A (White/Gold) #1/0,Streamer,trout;bass,hook: articulated shank; hook: streamer #1/0; thread: 140d white; tail: gold flashabou; body: white schlappen; head: spun deer hair white,
Flagler's Frenchy Variation #16,Nymph,trout,hook: jig #16; bead: copper slotted tungsten bead; thread: 8/0 brown; tail: coq de leon; body: pheasant tail; rib: copper wire; collar: rainbow scud dubbing,
Tim's Soft Hackle Pupa #14,Wet,trout,hook: scud #14; thread: 8/0 tan; body: tan dubbing; rib: gold wire; thorax: peacock herl; hackle: partridge,
Rosenbauer's Emerger Sparkle Yarn Pupae #16,Nymph/Emerger,trout,hook: scud #16; thread: 8/0 olive; body: olive sparkle yarn; head: peacock herl,
Kelly's Zoo Cougar (Yellow) #2,Streamer,trout;bass,hook: streamer #2 3xl; thread: 140d yellow; wing: yellow marabou; flash: gold flashabou; head: yellow spun deer hair,
Flagler's Jiggy-Style Rubber-Leg Stone #8,Nymph,trout,hook: jig #8; bead: gold slotted tungsten bead; thread: 140d brown; tail: brown goose biots; body: brown dubbing; legs: brown rubber legs; wingcase: thin skin brown,
Tim's Yellow Stone Nymph #12,Nymph,trout,hook: nymph #12 2xl; thread: 140d yellow; tail: yellow goose biots; body: yellow dubbing; wingcase: mottled turkey quill; legs: partridge,
Rosenbauer's Dirty Hipster #16,Nymph,trout,hook: jig #16; bead: copper slotted tungsten bead; thread: 8/0 tan; tail: coq de leon; body: tan dubbing; hot spot: peacock ice dub,
Kelly's Sex Indicator #10,Dry,trout,hook: dry #10; thread: 140d tan; body: foam tan; wing: elk hair; indicator: pink foam,
Flagler's Simple Caddis Larva #14,Nymph,trout,hook: scud #14; bead: black tungsten bead; thread: 8/0 green; body: green dubbing; rib: copper wire,
Tim's Bead Head Caddis Pupa #14,Nymph,trout,hook: scud #14; bead: gold tungsten bead; thread: 8/0 tan; body: tan dubbing; legs: partridge; antenna: wood duck flank,
Rosenbauer's Pheasant Tail Soft Hackle #16,Wet,trout,hook: wet #16; thread: 8/0 brown; body: pheasant tail; rib: copper wire; hackle: partridge,
Kelly's Goblin #4,Streamer,trout,hook: streamer #4; bead: conehead gold; thread: 140d olive; tail: olive marabou; body: olive chenille; wing: olive rabbit strip,
Flagler's Tungsten Twenty-Incher #10,Nymph,trout,hook: nymph #10 2xl; bead: gold tungsten bead; thread: 140d brown; tail: brown goose biots; body: brown dubbing; rib: gold wire; wingcase: thin skin brown; legs: brown rubber legs,
Tim's Little Black Stonefly #16,Nymph,trout,hook: nymph #16; thread: 8/0 black; tail: black goose biots; body: black dubbing; wingcase: thin skin black,
Rosenbauer's Foam-Back Cricket #10,Dry/Terrestrial,trout;panfish,hook: dry #10 2xl; thread: 6/0 black; body: black dubbing; back: black foam; legs: black rubber legs,
Kelly's Circus Peanut (Olive/White) #2,Streamer,trout;bass,hook: articulated shank; hook: streamer #2; thread: 140d white; tail: white marabou; body: schlappen olive/white; head: spun deer hair olive/white,
Flagler's CDC & Antron Caddis Pupa #16,Nymph/Emerger,trout,hook: scud #16; bead: gold tungsten bead; thread: 8/0 tan; body: tan antron dubbing; wing: cdc puff natural,
Veverka's Mantis Shrimp (Tan) #4,Streamer,saltwater,hook: saltwater #4; eyes: bead chain eyes; thread: 140d tan; tail: craft fur tan; body: tan dubbing; legs: silicone legs tan; wing: craft fur tan,
Merkin Crab (Tan) #2,Streamer,saltwater,hook: saltwater #2; eyes: lead dumbbell eyes; thread: 140d tan; claws: tan bucktail; body: tan rug yarn; legs: rubber legs tan,
Tarpon Toad (Chartreuse) #2/0,Streamer,saltwater,hook: saltwater #2/0; thread: 210d chartreuse; tail: chartreuse marabou; body: chartreuse rabbit strip; collar: chartreuse schlappen,
EP Minnow (Peanut Butter) #1/0,Streamer,saltwater;bass,hook: saltwater #1/0; thread: 140d tan; body: EP fibers (tan/white); eyes: 3d eyes,
Borski's Redfish Slider (Tan) #2,Topwater,saltwater,hook: saltwater #2; thread: 140d tan; tail: tan rabbit strip; body: spun deer hair tan; legs: silicone legs tan,
Surf Candy (Olive/White) #2,Streamer,saltwater,hook: saltwater #2; thread: 140d white; body: white bucktail; wing: olive bucktail; flash: silver flashabou; head: epoxy,
Hollow Fleye (White) #3/0,Streamer,saltwater;pike;muskie,hook: saltwater #3/0; thread: GSP 200 white; body: white bucktail (tied hollow); eyes: 3d eyes,
Popovics' Jiggy (White) #2,Streamer,saltwater;bass,hook: jig #2; thread: 140d white; tail: white bucktail; body: pearl estaz; wing: white bucktail; head: epoxy,
